Track Name,Track ID,Artist,Track popularity,Playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Artist ID,Artist Followers,Artist genres,Artist popularity,Preference,Type,anime,anime latino,anime lo-fi,anime rock,anime score,art rock,canterbury scene,chill r&b,chinese idol pop,classic j-pop,classic k-pop,complextro,dance pop,edm,idol rock,j-acoustic,j-idol,j-metal,j-pixie,j-pop,j-pop girl group,j-poprock,j-rock,japanese alternative rock,japanese celtic,japanese classical,japanese emo,japanese indie rock,japanese math rock,japanese metalcore,japanese pop punk,japanese post-hardcore,japanese power metal,japanese prog,japanese r&b,japanese singer-songwriter,japanese soul,japanese soundtrack,japanese teen pop,jazz fusion,k-indie,k-pop,k-pop boy group,k-pop girl group,k-rap,k-rock,korean city pop,korean electropop,korean mask singer,korean old school hip hop,korean ost,korean pop,korean r&b,korean singer-songwriter,korean superband,korean trap,neo classical metal,okinawan pop,oshare kei,otacore,power metal,progressive electro house,scorecore,shonen,symphonic rock,touken ranbu,trancecore,visual kei,vocaloid
HELICOPTER,2hJS7BdEaH9Jo8MeJujsHT,CLC,66.0,Kpop-2021,0.759,0.816,6,-2.898,0,0.104,0.152,0.0,0.0661,0.756,113.953,audio_features,2xN1j0jRBRtsYAnA00kW9h,spotify:track:2xN1j0jRBRtsYAnA00kW9h,https://api.spotify.com/v1/tracks/2xN1j0jRBRtsYAnA00kW9h,https://api.spotify.com/v1/audio-analysis/2xN1j0jRBRtsYAnA00kW9h,210486,4,6QyO41KctzGc70mVaVnXQO,978300.0,"['k-pop', 'k-pop girl group', 'korean city pop']",59.0,Other,Kpop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLACK DRESS,4g73tmQQc6pSfe4NMXKrZD,CLC,56.0,Kpop-iconic,0.725,0.94,5,-2.32,0,0.0435,0.115,0.00431,0.0864,0.905,127.051,audio_features,4Is1b37KJY9XVCgzp81FBW,spotify:track:4Is1b37KJY9XVCgzp81FBW,https://api.spotify.com/v1/tracks/4Is1b37KJY9XVCgzp81FBW,https://api.spotify.com/v1/audio-analysis/4Is1b37KJY9XVCgzp81FBW,208475,4,6QyO41KctzGc70mVaVnXQO,978300.0,"['k-pop', 'k-pop girl group', 'korean city pop']",59.0,Other,Kpop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,3sygLAUhHsJsQ0cBk6fxRd,CLC,54.0,Kpop-iconic,0.656,0.821,11,-4.741,1,0.188,0.0158,0.0,0.131,0.671,144.972,audio_features,3YcQMEQsLWiya2zjSKKJAU,spotify:track:3YcQMEQsLWiya2zjSKKJAU,https://api.spotify.com/v1/tracks/3YcQMEQsLWiya2zjSKKJAU,https://api.spotify.com/v1/audio-analysis/3YcQMEQsLWiya2zjSKKJAU,204239,4,6QyO41KctzGc70mVaVnXQO,978300.0,"['k-pop', 'k-pop girl group', 'korean city pop']",59.0,Other,Kpop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HELICOPTER,2hJS7BdEaH9Jo8MeJujsHT,CLC,66.0,Kpop-iconic,0.802,0.893,11,-4.103,1,0.0852,0.0614,0.0,0.226,0.593,120.003,audio_features,0S6giCcEzgm7SzK6cczMKc,spotify:track:0S6giCcEzgm7SzK6cczMKc,https://api.spotify.com/v1/tracks/0S6giCcEzgm7SzK6cczMKc,https://api.spotify.com/v1/audio-analysis/0S6giCcEzgm7SzK6cczMKc,206165,4,6QyO41KctzGc70mVaVnXQO,978300.0,"['k-pop', 'k-pop girl group', 'korean city pop']",59.0,Other,Kpop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,3sygLAUhHsJsQ0cBk6fxRd,CLC,54.0,Kpop 2015-2021,0.76,0.722,6,-4.429,0,0.0908,0.00785,0.000326,0.116,0.687,120.055,audio_features,3sygLAUhHsJsQ0cBk6fxRd,spotify:track:3sygLAUhHsJsQ0cBk6fxRd,https://api.spotify.com/v1/tracks/3sygLAUhHsJsQ0cBk6fxRd,https://api.spotify.com/v1/audio-analysis/3sygLAUhHsJsQ0cBk6fxRd,181976,4,6QyO41KctzGc70mVaVnXQO,978300.0,"['k-pop', 'k-pop girl group', 'korean city pop']",59.0,Other,Kpop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ME,7w3mCZJZbfXzNebD5vktMI,CLC,56.0,Kpop 2015-2021,0.752,0.804,11,-3.512,0,0.0656,0.022,1.76e-05,0.0865,0.795,146.943,audio_features,7w3mCZJZbfXzNebD5vktMI,spotify:track:7w3mCZJZbfXzNebD5vktMI,https://api.spotify.com/v1/tracks/7w3mCZJZbfXzNebD5vktMI,https://api.spotify.com/v1/audio-analysis/7w3mCZJZbfXzNebD5vktMI,193253,4,6QyO41KctzGc70mVaVnXQO,978300.0,"['k-pop', 'k-pop girl group', 'korean city pop']",59.0,Other,Kpop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Devil,3aG0gbuvZ1VeVm68d4J6Yq,CLC,58.0,Kpop 2015-2021,0.79,0.888,10,-3.589,0,0.0479,0.034,4.48e-06,0.0783,0.946,148.028,audio_features,3aG0gbuvZ1VeVm68d4J6Yq,spotify:track:3aG0gbuvZ1VeVm68d4J6Yq,https://api.spotify.com/v1/tracks/3aG0gbuvZ1VeVm68d4J6Yq,https://api.spotify.com/v1/audio-analysis/3aG0gbuvZ1VeVm68d4J6Yq,177000,4,6QyO41KctzGc70mVaVnXQO,978300.0,"['k-pop', 'k-pop girl group', 'korean city pop']",59.0,Other,Kpop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HELICOPTER,2hJS7BdEaH9Jo8MeJujsHT,CLC,66.0,Kpop 2015-2021,0.666,0.908,5,-2.819,0,0.056,0.0323,0.0,0.383,0.655,155.048,audio_features,2hJS7BdEaH9Jo8MeJujsHT,spotify:track:2hJS7BdEaH9Jo8MeJujsHT,https://api.spotify.com/v1/tracks/2hJS7BdEaH9Jo8MeJujsHT,https://api.spotify.com/v1/audio-analysis/2hJS7BdEaH9Jo8MeJujsHT,225720,4,6QyO41KctzGc70mVaVnXQO,978300.0,"['k-pop', 'k-pop girl group', 'korean city pop']",59.0,Other,Kpop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOCO,5b8FtevTVz8xVF6E208xeV,ITZY,64.0,Kpop-2021,0.621,0.873,11,-2.888,0,0.103,0.0194,0.0,0.488,0.401,169.91,audio_features,2JTjDYA0vfx8sp5XMTbeqU,spotify:track:2JTjDYA0vfx8sp5XMTbeqU,https://api.spotify.com/v1/tracks/2JTjDYA0vfx8sp5XMTbeqU,https://api.spotify.com/v1/audio-analysis/2JTjDYA0vfx8sp5XMTbeqU,210478,4,2KC9Qb60EaY0kW4eH68vr3,2605792.0,['k-pop girl group'],74.0,Other,Kpop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
In the morning,2QdH0rKlV3d9Y6lWzcnlBH,ITZY,77.0,Kpop-2021,0.682,0.502,2,-9.507,1,0.0713,0.0124,8.45e-06,0.107,0.218,108.08,audio_features,5TkRTndV0IgRRO3HVr94P1,spotify:track:5TkRTndV0IgRRO3HVr94P1,https://api.spotify.com/v1/tracks/5TkRTndV0IgRRO3HVr94P1,https://api.spotify.com/v1/audio-analysis/5TkRTndV0IgRRO3HVr94P1,214035,4,2KC9Qb60EaY0kW4eH68vr3,2605792.0,['k-pop girl group'],74.0,Other,Kpop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
