Track Name,Track ID,Artist,Track Popularity,Playlist_x,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Artist ID,Artist Followers,Artist genres,Artist popularity
Oh my god,2DmRXiyn03tOqKgEJXlaiJ,(G)I-DLE,(G)I-DLE,Kpop girl group songs that were a cultural reset,0.794,0.762,4,-3.525,0,0.0392,0.0358,1.41e-06,0.191,0.482,109.97,audio_features,2DmRXiyn03tOqKgEJXlaiJ,spotify:track:2DmRXiyn03tOqKgEJXlaiJ,https://api.spotify.com/v1/tracks/2DmRXiyn03tOqKgEJXlaiJ,https://api.spotify.com/v1/audio-analysis/2DmRXiyn03tOqKgEJXlaiJ,195867,4,2AfmfGFbe0A0WsTYm0SDTx,2871130.0,"['k-pop', 'k-pop girl group']",71.0
Boku no Sensou - TV Size,3tRPfCFAEv6wWyQO0YnGGV,Shinsei Kamattechan,Shinsei Kamattechan,lit anime music,0.814,0.93,6,-5.128,0,0.0364,0.105,0.00019,0.294,0.963,127.002,audio_features,62x5q8OrmPpmlA8PpjrQt3,spotify:track:62x5q8OrmPpmlA8PpjrQt3,https://api.spotify.com/v1/tracks/62x5q8OrmPpmlA8PpjrQt3,https://api.spotify.com/v1/audio-analysis/62x5q8OrmPpmlA8PpjrQt3,219453,4,1ZnuqrjIR4q8zhgriUYsSo,96553.0,"['anime score', 'japanese alternative rock']",59.0
Boku no Sensou,3KhwEuqLNjHfsKaBDo1yVh,Shinsei Kamattechan,Shinsei Kamattechan,lit anime music,0.54,0.929,7,-2.646,1,0.279,0.00584,4.11e-06,0.424,0.621,176.019,audio_features,5DZdCgnX9xAj59X6X7cQBs,spotify:track:5DZdCgnX9xAj59X6X7cQBs,https://api.spotify.com/v1/tracks/5DZdCgnX9xAj59X6X7cQBs,https://api.spotify.com/v1/audio-analysis/5DZdCgnX9xAj59X6X7cQBs,192400,4,1ZnuqrjIR4q8zhgriUYsSo,96553.0,"['anime score', 'japanese alternative rock']",59.0
ピースサイン,5aHfGUxRec6c41luxkDqhX,Kenshi Yonezu,Kenshi Yonezu,Shounen Anime Vibes (Anime Opening & Ending),0.814,0.93,6,-5.128,0,0.0364,0.105,0.00019,0.294,0.963,127.002,audio_features,62x5q8OrmPpmlA8PpjrQt3,spotify:track:62x5q8OrmPpmlA8PpjrQt3,https://api.spotify.com/v1/tracks/62x5q8OrmPpmlA8PpjrQt3,https://api.spotify.com/v1/audio-analysis/62x5q8OrmPpmlA8PpjrQt3,219453,4,1snhtMLeb2DYoMOcVbb8iB,3226521.0,"['anime', 'j-pop']",72.0
ピースサイン,5aHfGUxRec6c41luxkDqhX,Kenshi Yonezu,Kenshi Yonezu,lit anime music,0.618,0.975,6,-0.883,0,0.128,0.0113,3.09e-06,0.423,0.761,122.939,audio_features,3YxK7NqMCWDpmrQ82Wvx25,spotify:track:3YxK7NqMCWDpmrQ82Wvx25,https://api.spotify.com/v1/tracks/3YxK7NqMCWDpmrQ82Wvx25,https://api.spotify.com/v1/audio-analysis/3YxK7NqMCWDpmrQ82Wvx25,203587,4,1snhtMLeb2DYoMOcVbb8iB,3226521.0,"['anime', 'j-pop']",72.0
One More Time,1oD1B653Nje6Z0zoijB56I,Jewelry,Jewelry,Kpop girl group songs that were a cultural reset,0.754,0.866,11,-4.286,0,0.0344,0.0073,1.01e-06,0.19,0.714,132.005,audio_features,1oD1B653Nje6Z0zoijB56I,spotify:track:1oD1B653Nje6Z0zoijB56I,https://api.spotify.com/v1/tracks/1oD1B653Nje6Z0zoijB56I,https://api.spotify.com/v1/audio-analysis/1oD1B653Nje6Z0zoijB56I,214533,4,01iyQzyns6Ab0LxjYvHcg9,5960.0,"['classic k-pop', 'k-pop']",19.0
il vento d'oro,17VP4tofJ3evJbtY8Tk1Qi,Yugo Kanno,Yugo Kanno,lit anime music,0.754,0.866,11,-4.286,0,0.0344,0.0073,1.01e-06,0.19,0.714,132.005,audio_features,1oD1B653Nje6Z0zoijB56I,spotify:track:1oD1B653Nje6Z0zoijB56I,https://api.spotify.com/v1/tracks/1oD1B653Nje6Z0zoijB56I,https://api.spotify.com/v1/audio-analysis/1oD1B653Nje6Z0zoijB56I,214533,4,56DDzGJXY0xndL9wu9aHUD,91796.0,"['anime score', 'japanese soundtrack']",62.0
Uragirimonono Requiem - Diavolo Ver.,4CoTazwZS0VXFHgqgmVT85,Yugo Kanno,Yugo Kanno,lit anime music,0.722,0.947,0,-1.378,1,0.0941,0.135,0.0,0.348,0.797,126.989,audio_features,2VfxCtWtDJGNKetJvGTWZT,spotify:track:2VfxCtWtDJGNKetJvGTWZT,https://api.spotify.com/v1/tracks/2VfxCtWtDJGNKetJvGTWZT,https://api.spotify.com/v1/audio-analysis/2VfxCtWtDJGNKetJvGTWZT,195056,4,56DDzGJXY0xndL9wu9aHUD,91796.0,"['anime score', 'japanese soundtrack']",62.0
THE DAY,1tjOClAkdMxDfYPO0xvGbG,PornoGraffitti,PornoGraffitti,Shounen Anime Vibes (Anime Opening & Ending),0.754,0.866,11,-4.286,0,0.0344,0.0073,1.01e-06,0.19,0.714,132.005,audio_features,1oD1B653Nje6Z0zoijB56I,spotify:track:1oD1B653Nje6Z0zoijB56I,https://api.spotify.com/v1/tracks/1oD1B653Nje6Z0zoijB56I,https://api.spotify.com/v1/audio-analysis/1oD1B653Nje6Z0zoijB56I,214533,4,5jQa0f5MIMPEK7udL7UpI6,542508.0,"['j-pop', 'j-poprock', 'j-rock']",61.0
メリッサ,7zty9mmmuqQsn8s4zDH4nk,PornoGraffitti,PornoGraffitti,Shounen Anime Vibes (Anime Opening & Ending),0.746,0.896,9,-0.188,0,0.0509,0.18,7.47e-05,0.271,0.805,127.995,audio_features,33TqBHa7rDBG4XWoZdQrAU,spotify:track:33TqBHa7rDBG4XWoZdQrAU,https://api.spotify.com/v1/tracks/33TqBHa7rDBG4XWoZdQrAU,https://api.spotify.com/v1/audio-analysis/33TqBHa7rDBG4XWoZdQrAU,213187,4,5jQa0f5MIMPEK7udL7UpI6,542508.0,"['j-pop', 'j-poprock', 'j-rock']",61.0
THE DAY,1tjOClAkdMxDfYPO0xvGbG,PornoGraffitti,PornoGraffitti,lit anime music,0.491,0.897,10,-3.912,1,0.0544,0.0256,3.5e-06,0.064,0.533,118.771,audio_features,1gdTztk1x8HCDlxcSR8vp3,spotify:track:1gdTztk1x8HCDlxcSR8vp3,https://api.spotify.com/v1/tracks/1gdTztk1x8HCDlxcSR8vp3,https://api.spotify.com/v1/audio-analysis/1gdTztk1x8HCDlxcSR8vp3,205373,4,5jQa0f5MIMPEK7udL7UpI6,542508.0,"['j-pop', 'j-poprock', 'j-rock']",61.0
ブルーバード,2XpV9sHBexcNrz0Gyf3l18,Ikimonogakari,Ikimonogakari,lit anime music,0.879,0.695,1,-5.87,0,0.0521,0.0192,0.00976,0.0515,0.963,139.985,audio_features,6ZizEG2wtzeHrgKEv1eBmD,spotify:track:6ZizEG2wtzeHrgKEv1eBmD,https://api.spotify.com/v1/tracks/6ZizEG2wtzeHrgKEv1eBmD,https://api.spotify.com/v1/audio-analysis/6ZizEG2wtzeHrgKEv1eBmD,181328,4,5YneEA2nLtAhkD5t2769lZ,952994.0,"['anime', 'j-pop', 'j-poprock']",64.0
ブルーバード,2XpV9sHBexcNrz0Gyf3l18,Ikimonogakari,Ikimonogakari,Shounen Anime Vibes (Anime Opening & Ending),0.813,0.785,1,-3.881,0,0.0921,0.065,0.0,0.0747,0.852,131.978,audio_features,1ErdaM9N7EJ7trhXFnDECg,spotify:track:1ErdaM9N7EJ7trhXFnDECg,https://api.spotify.com/v1/tracks/1ErdaM9N7EJ7trhXFnDECg,https://api.spotify.com/v1/audio-analysis/1ErdaM9N7EJ7trhXFnDECg,238213,4,5YneEA2nLtAhkD5t2769lZ,952994.0,"['anime', 'j-pop', 'j-poprock']",64.0
ホタルノヒカリ,7HAkrW8JUYoVR9dXwb6Uku,Ikimonogakari,Ikimonogakari,Shounen Anime Vibes (Anime Opening & Ending),0.673,0.933,5,-1.414,0,0.169,0.0279,0.0,0.357,0.662,127.905,audio_features,1wwuD36K0lZ9RDJPnGUXnT,spotify:track:1wwuD36K0lZ9RDJPnGUXnT,https://api.spotify.com/v1/tracks/1wwuD36K0lZ9RDJPnGUXnT,https://api.spotify.com/v1/audio-analysis/1wwuD36K0lZ9RDJPnGUXnT,227866,4,5YneEA2nLtAhkD5t2769lZ,952994.0,"['anime', 'j-pop', 'j-poprock']",64.0
SAKURA,1lTfD2M6UpJRWi3YLb8qb5,Ikimonogakari,Ikimonogakari,lit anime music,0.641,0.877,3,-2.726,0,0.0337,0.014,0.000131,0.0792,0.454,130.045,audio_features,2RKgRT8O8K3DXfsGfnbNWx,spotify:track:2RKgRT8O8K3DXfsGfnbNWx,https://api.spotify.com/v1/tracks/2RKgRT8O8K3DXfsGfnbNWx,https://api.spotify.com/v1/audio-analysis/2RKgRT8O8K3DXfsGfnbNWx,230008,4,5YneEA2nLtAhkD5t2769lZ,952994.0,"['anime', 'j-pop', 'j-poprock']",64.0
